FLIGHT_DATE,FLIGHT_TIME,TIME_OF_DAY,AIRLINE_CD,FLIGHT_NO,DEPARTURE_STATION_CD,ARRIVAL_STATION_CD,ARRIVAL_COUNTRY,ARRIVAL_REGION,HAUL,AIRCRAFT_TYPE,FIRST_CLASS_SEATS,BUSINESS_CLASS_SEATS,ECONOMY_SEATS,TIER1_ELIGIBLE_PAX,TIER2_ELIGIBLE_PAX,TIER3_ELIGIBLE_PAX
9/2/2025,14:19,Afternoon,BA,BA5211,LHR,LAX,USA,North America,LONG,B777,8,49,178,0,10,38
6/10/2025,6:42,Morning,BA,BA7282,LHR,LAX,USA,North America,LONG,B777,8,49,178,0,7,28
10/27/2025,15:33,Afternoon,BA,BA1896,LHR,FRA,Germany,Europe,SHORT,A320,0,17,163,0,11,40
6/15/2025,18:29,Evening,BA,BA5497,LHR,IST,Turkey,Europe,SHORT,A320,0,8,172,0,16,54
8/25/2025,20:35,Evening,BA,BA1493,LHR,FRA,Germany,Europe,SHORT,A320,0,13,167,0,6,27
7/12/2025,19:08,Evening,BA,BA4954,LHR,VIE,Austria,Europe,SHORT,A320,0,20,160,0,6,27
9/16/2025,21:44,Evening,BA,BA9840,LHR,AMS,Netherlands,Europe,SHORT,A320,0,20,160,0,16,55
4/24/2025,14:50,Afternoon,BA,BA7116,LHR,ORD,USA,North America,LONG,A350,0,56,275,1,12,42
5/17/2025,12:13,Lunchtime,BA,BA4424,LHR,FRA,Germany,Europe,SHORT,A320,0,17,163,0,5,23
5/1/2025,9:55,Morning,BA,BA4878,LHR,IST,Turkey,Europe,SHORT,A320,0,4,176,1,11,39
8/23/2025,9:27,Morning,BA,BA8924,LHR,AMS,Netherlands,Europe,SHORT,A320,0,10,170,1,5,23
9/2/2025,7:48,Morning,BA,BA8942,LHR,LAX,USA,North America,LONG,B777,8,49,178,0,5,23
5/10/2025,10:11,Morning,BA,BA8213,LHR,MUC,Germany,Europe,SHORT,A320,0,2,178,1,9,34
5/22/2025,6:23,Morning,BA,BA7992,LHR,HND,Japan,Asia,LONG,B787,8,48,200,1,0,0
6/13/2025,14:57,Afternoon,BA,BA7734,LHR,VIE,Austria,Europe,SHORT,A320,0,12,168,0,0,3
6/2/2025,22:37,Evening,BA,BA3129,LHR,CDG,France,Europe,SHORT,A320,0,18,162,0,5,22
4/2/2025,17:04,Afternoon,BA,BA8677,LHR,ORD,USA,North America,LONG,B787,8,42,166,0,2,14
6/13/2025,14:20,Afternoon,BA,BA3998,LHR,CDG,France,Europe,SHORT,A320,0,18,162,2,9,35
8/2/2025,17:48,Afternoon,BA,BA9842,LHR,VIE,Austria,Europe,SHORT,A320,0,17,163,1,3,16
9/2/2025,6:48,Morning,BA,BA8555,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,5,175,0,0,8
6/5/2025,22:28,Evening,BA,BA9080,LHR,JFK,USA,North America,LONG,B777,8,49,178,1,16,53
6/1/2025,10:27,Morning,BA,BA1302,LHR,MAD,Spain,Europe,SHORT,A320,0,15,165,0,7,27
4/10/2025,16:04,Afternoon,BA,BA1609,LHR,DXB,UAE,Middle East,LONG,B787,8,48,200,0,8,31
6/5/2025,17:37,Afternoon,BA,BA2199,LHR,JFK,USA,North America,LONG,A380,14,97,358,1,0,8
5/27/2025,20:21,Evening,BA,BA3986,LHR,MUC,Germany,Europe,SHORT,A320,0,3,177,0,5,22
6/14/2025,14:16,Afternoon,BA,BA8994,LHR,IST,Turkey,Europe,SHORT,A320,0,13,167,1,8,32
10/5/2025,18:59,Evening,BA,BA9311,LHR,MAD,Spain,Europe,SHORT,A320,0,9,171,1,1,12
4/28/2025,18:59,Evening,BA,BA3363,LHR,ORD,USA,North America,LONG,B777,0,48,224,0,10,36
8/24/2025,19:28,Evening,BA,BA9976,LHR,MAD,Spain,Europe,SHORT,A320,0,11,169,0,4,21
6/22/2025,6:25,Morning,BA,BA4218,LHR,FRA,Germany,Europe,SHORT,A320,0,1,179,1,6,26
8/20/2025,6:29,Morning,BA,BA5499,LHR,JFK,USA,North America,LONG,B787,8,48,200,2,4,21
5/27/2025,8:49,Morning,BA,BA5333,LHR,ORD,USA,North America,LONG,B777,0,32,304,0,18,59
6/1/2025,15:28,Afternoon,BA,BA4414,LHR,IST,Turkey,Europe,SHORT,A320,0,4,176,0,8,30
10/26/2025,10:44,Morning,BA,BA4125,LHR,JFK,USA,North America,LONG,B787,0,31,173,0,2,14
9/10/2025,14:05,Afternoon,BA,BA4192,LHR,MUC,Germany,Europe,SHORT,A320,0,1,179,1,12,43
5/28/2025,6:05,Morning,BA,BA1683,LHR,AMS,Netherlands,Europe,SHORT,A320,0,17,163,1,1,11
4/25/2025,20:06,Evening,BA,BA3990,LHR,DXB,UAE,Middle East,LONG,B777,8,49,178,0,9,34
8/28/2025,22:29,Evening,BA,BA9466,LHR,DXB,UAE,Middle East,LONG,B787,8,48,200,2,0,0
10/16/2025,18:29,Evening,BA,BA6458,LHR,HND,Japan,Asia,LONG,B777,0,32,300,0,1,10
10/25/2025,16:00,Afternoon,BA,BA9912,LHR,FRA,Germany,Europe,SHORT,A320,0,16,164,1,9,33
9/15/2025,14:00,Afternoon,BA,BA9863,LHR,LAX,USA,North America,LONG,B787,8,48,200,0,12,42
9/3/2025,6:00,Morning,BA,BA6358,LHR,BCN,Spain,Europe,SHORT,A320,0,8,172,0,9,33
10/27/2025,11:10,Morning,BA,BA2032,LHR,DXB,UAE,Middle East,LONG,B777,8,49,178,0,7,28
9/2/2025,8:05,Morning,BA,BA7688,LHR,MUC,Germany,Europe,SHORT,A320,0,11,169,0,6,26
9/20/2025,6:54,Morning,BA,BA2057,LHR,MUC,Germany,Europe,SHORT,A320,0,20,160,1,0,7
9/27/2025,19:16,Evening,BA,BA9424,LHR,DXB,UAE,Middle East,LONG,B787,8,48,200,0,4,19
9/22/2025,22:04,Evening,BA,BA5207,LHR,MAD,Spain,Europe,SHORT,A320,0,10,170,0,5,23
7/21/2025,20:07,Evening,BA,BA7077,LHR,FRA,Germany,Europe,SHORT,A320,0,13,167,0,14,47
7/3/2025,12:18,Lunchtime,BA,BA3137,LHR,CDG,France,Europe,SHORT,A320,0,13,167,0,10,36
6/3/2025,16:31,Afternoon,BA,BA9353,LHR,AMS,Netherlands,Europe,SHORT,A320,0,12,168,1,0,3
6/18/2025,11:28,Morning,BA,BA4358,LHR,MAD,Spain,Europe,SHORT,A320,0,4,176,1,10,35
9/27/2025,16:12,Afternoon,BA,BA9861,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,10,170,0,6,24
5/11/2025,13:23,Lunchtime,BA,BA5903,LHR,ORD,USA,North America,LONG,A380,14,97,358,0,4,20
6/22/2025,12:47,Lunchtime,BA,BA4485,LHR,JFK,USA,North America,LONG,B777,0,32,300,0,11,40
6/29/2025,10:49,Morning,BA,BA2572,LHR,MAD,Spain,Europe,SHORT,A320,0,14,166,2,13,46
10/20/2025,21:11,Evening,BA,BA6423,LHR,IST,Turkey,Europe,SHORT,A320,0,15,165,2,13,45
9/21/2025,9:41,Morning,BA,BA7406,LHR,LAX,USA,North America,LONG,B787,8,42,166,1,3,17
8/23/2025,17:58,Afternoon,BA,BA1117,LHR,FRA,Germany,Europe,SHORT,A320,0,1,179,2,6,25
9/2/2025,19:50,Evening,BA,BA6576,LHR,IST,Turkey,Europe,SHORT,A320,0,11,169,1,10,35
5/3/2025,12:45,Lunchtime,BA,BA8214,LHR,AMS,Netherlands,Europe,SHORT,A320,0,16,164,1,13,46
7/13/2025,11:25,Morning,BA,BA1456,LHR,IST,Turkey,Europe,SHORT,A320,0,6,174,0,5,23
5/1/2025,21:27,Evening,BA,BA1839,LHR,LAX,USA,North America,LONG,B777,0,32,300,0,7,27
5/28/2025,6:43,Morning,BA,BA2095,LHR,LAX,USA,North America,LONG,B777,0,32,300,0,2,13
9/29/2025,13:44,Lunchtime,BA,BA8831,LHR,AMS,Netherlands,Europe,SHORT,A320,0,20,160,0,1,12
9/5/2025,15:02,Afternoon,BA,BA5960,LHR,MUC,Germany,Europe,SHORT,A320,0,17,163,0,12,43
10/3/2025,12:18,Lunchtime,BA,BA6246,LHR,DFW,USA,North America,LONG,B777,8,49,178,0,15,51
6/29/2025,13:01,Lunchtime,BA,BA5167,LHR,FRA,Germany,Europe,SHORT,A320,0,8,172,0,7,29
6/25/2025,13:27,Lunchtime,BA,BA1644,LHR,FRA,Germany,Europe,SHORT,A320,0,18,162,0,13,46
9/14/2025,16:40,Afternoon,BA,BA5518,LHR,HND,Japan,Asia,LONG,A380,14,97,358,0,10,36
6/19/2025,22:43,Evening,BA,BA7450,LHR,BCN,Spain,Europe,SHORT,A320,0,10,170,0,4,20
8/27/2025,22:12,Evening,BA,BA5169,LHR,DFW,USA,North America,LONG,B777,8,49,178,2,10,36
7/13/2025,10:40,Morning,BA,BA3445,LHR,ORD,USA,North America,LONG,B777,8,49,178,1,16,54
10/20/2025,18:57,Evening,BA,BA6547,LHR,ORD,USA,North America,LONG,A350,0,56,275,1,8,30
4/29/2025,16:43,Afternoon,BA,BA3045,LHR,MAD,Spain,Europe,SHORT,A320,0,8,172,0,16,55
9/23/2025,21:27,Evening,BA,BA9105,LHR,LAX,USA,North America,LONG,A380,14,97,358,0,0,0
6/21/2025,13:31,Lunchtime,BA,BA1676,LHR,CDG,France,Europe,SHORT,A320,0,7,173,0,12,43
6/7/2025,11:04,Morning,BA,BA6083,LHR,BCN,Spain,Europe,SHORT,A320,0,4,176,2,8,32
6/4/2025,11:29,Morning,BA,BA3697,LHR,CDG,France,Europe,SHORT,A320,0,16,164,0,6,26
8/17/2025,11:14,Morning,BA,BA1957,LHR,BCN,Spain,Europe,SHORT,A320,0,16,164,0,8,32
5/25/2025,14:37,Afternoon,BA,BA3710,LHR,LAX,USA,North America,LONG,B777,0,32,304,1,0,0
5/10/2025,11:15,Morning,BA,BA4739,LHR,MAD,Spain,Europe,SHORT,A320,0,12,168,0,7,27
4/28/2025,15:32,Afternoon,BA,BA8007,LHR,FRA,Germany,Europe,SHORT,A320,0,15,165,0,10,36
7/16/2025,22:37,Evening,BA,BA9540,LHR,LAX,USA,North America,LONG,B777,8,49,178,0,16,53
7/25/2025,10:56,Morning,BA,BA1547,LHR,DXB,UAE,Middle East,LONG,B787,8,48,200,0,5,22
4/3/2025,22:52,Evening,BA,BA5541,LHR,LAX,USA,North America,LONG,A350,0,56,275,0,3,18
10/8/2025,8:36,Morning,BA,BA8409,LHR,IST,Turkey,Europe,SHORT,A320,0,18,162,0,5,22
8/9/2025,14:54,Afternoon,BA,BA4309,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,7,173,1,13,45
9/1/2025,19:54,Evening,BA,BA1673,LHR,MAD,Spain,Europe,SHORT,A320,0,19,161,1,10,35
6/26/2025,21:36,Evening,BA,BA5904,LHR,LAX,USA,North America,LONG,B787,0,35,179,0,5,22
9/14/2025,22:27,Evening,BA,BA2689,LHR,DFW,USA,North America,LONG,B777,0,32,300,2,11,38
7/4/2025,12:58,Lunchtime,BA,BA6223,LHR,FRA,Germany,Europe,SHORT,A320,0,13,167,0,8,32
8/11/2025,7:57,Morning,BA,BA1189,LHR,DFW,USA,North America,LONG,B787,8,48,200,0,13,45
4/14/2025,14:41,Afternoon,BA,BA2430,LHR,BCN,Spain,Europe,SHORT,A320,0,10,170,0,4,19
8/2/2025,13:47,Lunchtime,BA,BA5750,LHR,DFW,USA,North America,LONG,B777,8,49,178,0,6,25
9/13/2025,6:39,Morning,BA,BA2419,LHR,DXB,UAE,Middle East,LONG,B777,8,49,178,0,6,24
10/25/2025,17:07,Afternoon,BA,BA5732,LHR,DFW,USA,North America,LONG,B777,0,32,300,0,0,7
6/24/2025,10:43,Morning,BA,BA2950,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,2,178,1,9,35
10/16/2025,19:39,Evening,BA,BA7773,LHR,IST,Turkey,Europe,SHORT,A320,0,13,167,0,9,34
4/15/2025,10:05,Morning,BA,BA7497,LHR,DFW,USA,North America,LONG,B777,8,49,178,0,8,30
9/25/2025,10:21,Morning,BA,BA5191,LHR,IST,Turkey,Europe,SHORT,A320,0,9,171,2,6,27
5/4/2025,13:17,Lunchtime,BA,BA6259,LHR,DXB,UAE,Middle East,LONG,B787,8,48,200,0,0,8
6/26/2025,12:16,Lunchtime,BA,BA1087,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,20,160,0,5,24
6/20/2025,21:30,Evening,BA,BA7067,LHR,FRA,Germany,Europe,SHORT,A320,0,10,170,1,6,25
8/5/2025,19:49,Evening,BA,BA5385,LHR,DXB,UAE,Middle East,LONG,A380,14,97,358,0,3,18
7/7/2025,18:38,Evening,BA,BA5241,LHR,CDG,France,Europe,SHORT,A320,0,16,164,0,7,28
5/27/2025,12:17,Lunchtime,BA,BA8150,LHR,CDG,France,Europe,SHORT,A320,0,14,166,0,10,37
9/12/2025,21:43,Evening,BA,BA6704,LHR,FRA,Germany,Europe,SHORT,A320,0,12,168,0,18,60
10/16/2025,17:48,Afternoon,BA,BA5272,LHR,MAD,Spain,Europe,SHORT,A320,0,0,180,0,9,33
5/30/2025,7:25,Morning,BA,BA5045,LHR,ORD,USA,North America,LONG,B787,0,35,179,0,9,34
4/16/2025,21:08,Evening,BA,BA7747,LHR,BCN,Spain,Europe,SHORT,A320,0,2,178,2,7,29
8/28/2025,16:19,Afternoon,BA,BA7376,LHR,MUC,Germany,Europe,SHORT,A320,0,17,163,1,0,0
5/30/2025,22:07,Evening,BA,BA3518,LHR,CDG,France,Europe,SHORT,A320,0,0,180,0,8,30
9/28/2025,9:58,Morning,BA,BA2161,LHR,BCN,Spain,Europe,SHORT,A320,0,7,173,1,8,31
8/17/2025,14:55,Afternoon,BA,BA3152,LHR,FRA,Germany,Europe,SHORT,A320,0,11,169,2,21,69
9/23/2025,17:42,Afternoon,BA,BA9584,LHR,AMS,Netherlands,Europe,SHORT,A320,0,9,171,0,7,27
7/2/2025,17:30,Afternoon,BA,BA9483,LHR,BCN,Spain,Europe,SHORT,A320,0,12,168,0,9,35
4/3/2025,12:36,Lunchtime,BA,BA6960,LHR,BCN,Spain,Europe,SHORT,A320,0,0,180,0,8,30
9/20/2025,22:10,Evening,BA,BA6215,LHR,JFK,USA,North America,LONG,B787,8,48,200,1,1,12
4/10/2025,8:42,Morning,BA,BA9072,LHR,ORD,USA,North America,LONG,B777,0,32,300,0,14,48
4/30/2025,8:19,Morning,BA,BA7857,LHR,ORD,USA,North America,LONG,B777,0,48,224,4,12,42
5/17/2025,11:26,Morning,BA,BA2207,LHR,HND,Japan,Asia,LONG,B787,0,35,179,0,12,43
7/28/2025,16:06,Afternoon,BA,BA1477,LHR,MUC,Germany,Europe,SHORT,A320,0,19,161,0,3,16
4/28/2025,9:57,Morning,BA,BA4856,LHR,IST,Turkey,Europe,SHORT,A320,0,1,179,0,15,52
6/4/2025,6:39,Morning,BA,BA8602,LHR,HND,Japan,Asia,LONG,B777,0,32,304,0,0,8
6/1/2025,7:29,Morning,BA,BA2517,LHR,HND,Japan,Asia,LONG,B787,0,31,173,1,11,39
6/23/2025,21:18,Evening,BA,BA1161,LHR,MUC,Germany,Europe,SHORT,A320,0,7,173,3,20,64
8/5/2025,22:18,Evening,BA,BA9469,LHR,BCN,Spain,Europe,SHORT,A320,0,10,170,0,2,15
7/29/2025,18:01,Evening,BA,BA9781,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,19,161,3,5,21
7/7/2025,10:49,Morning,BA,BA8821,LHR,IST,Turkey,Europe,SHORT,A320,0,15,165,1,8,32
5/22/2025,18:21,Evening,BA,BA6856,LHR,CDG,France,Europe,SHORT,A320,0,7,173,0,5,22
9/21/2025,15:32,Afternoon,BA,BA5816,LHR,MAD,Spain,Europe,SHORT,A320,0,6,174,1,0,6
6/1/2025,17:29,Afternoon,BA,BA7298,LHR,AMS,Netherlands,Europe,SHORT,A320,0,14,166,0,8,31
6/7/2025,19:00,Evening,BA,BA6405,LHR,MUC,Germany,Europe,SHORT,A320,0,1,179,0,2,14
10/1/2025,14:49,Afternoon,BA,BA3385,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,15,165,0,10,38
8/6/2025,10:24,Morning,BA,BA5339,LHR,JFK,USA,North America,LONG,A350,0,56,275,1,3,16
5/2/2025,16:41,Afternoon,BA,BA9865,LHR,JFK,USA,North America,LONG,A350,0,56,275,0,16,54
5/15/2025,8:24,Morning,BA,BA7033,LHR,FRA,Germany,Europe,SHORT,A320,0,14,166,1,3,18
8/24/2025,17:26,Afternoon,BA,BA3821,LHR,DFW,USA,North America,LONG,B787,8,48,200,1,6,25
6/2/2025,16:55,Afternoon,BA,BA8055,LHR,LAX,USA,North America,LONG,A350,0,56,275,0,12,43
5/7/2025,16:47,Afternoon,BA,BA6171,LHR,LAX,USA,North America,LONG,B777,8,49,178,0,1,11
10/14/2025,15:42,Afternoon,BA,BA3001,LHR,HND,Japan,Asia,LONG,A350,0,56,275,0,9,34
7/26/2025,7:16,Morning,BA,BA3768,LHR,FRA,Germany,Europe,SHORT,A320,0,20,160,0,15,51
4/22/2025,20:44,Evening,BA,BA9267,LHR,AMS,Netherlands,Europe,SHORT,A320,0,20,160,0,0,5
5/28/2025,11:48,Morning,BA,BA6715,LHR,MAD,Spain,Europe,SHORT,A320,0,17,163,0,9,33
4/10/2025,20:07,Evening,BA,BA4775,LHR,ORD,USA,North America,LONG,B787,8,48,200,0,9,34
9/27/2025,17:14,Afternoon,BA,BA2094,LHR,LAX,USA,North America,LONG,B787,0,35,179,0,12,42
4/15/2025,22:30,Evening,BA,BA4913,LHR,FRA,Germany,Europe,SHORT,A320,0,19,161,0,1,11
10/24/2025,20:55,Evening,BA,BA9045,LHR,AMS,Netherlands,Europe,SHORT,A320,0,19,161,0,1,10
10/6/2025,9:56,Morning,BA,BA9114,LHR,CDG,France,Europe,SHORT,A320,0,19,161,1,11,38
8/14/2025,18:22,Evening,BA,BA6544,LHR,MAD,Spain,Europe,SHORT,A320,0,6,174,3,9,35
10/13/2025,17:09,Afternoon,BA,BA9205,LHR,CDG,France,Europe,SHORT,A320,0,19,161,0,9,34
8/15/2025,13:52,Lunchtime,BA,BA8007,LHR,IST,Turkey,Europe,SHORT,A320,0,20,160,0,10,36
5/30/2025,7:45,Morning,BA,BA1151,LHR,ZRH,Switzerland,Europe,SHORT,A320,0,12,168,0,4,20
7/6/2025,9:45,Morning,BA,BA5060,LHR,ORD,USA,North America,LONG,A350,0,56,275,0,9,34
